feature,IV
NUM_NEW_LOAN_TAKEN_PCA_1,1.2327829280056055
NUM_NEW_LOAN_TAKEN_PCA_2,0.8435561439569462
NUMBER_OF_LOANS_NON_BANK,0.8006667951225367
NUMBER_OF_LOANS,0.7558281472931792
ENQUIRIES_PCA_4,0.5966550311548574
NUMBER_OF_RELATIONSHIP_BANK,0.5940800970798882
SHORT_TERM_COUNT_BANK,0.5801896488060501
OUTSTANDING_BAL_PCA_2,0.465826425753022
NUMBER_OF_CREDIT_CARDS,0.4481934203050603
ENQUIRIES_PCA_1,0.446869862906111
SHORT_TERM_COUNT_NON_BANK,0.4463422389677355
ENQUIRIES_PCA_3,0.44072628951062653
NUMBER_OF_CREDIT_CARDS_BANK,0.43796870692868684
OUTSTANDING_BAL_PCA_5,0.4100818947408066
NUMBER_OF_RELATIONSHIP_NON_BANK,0.3421060056320495
OUTSTANDING_BAL_PCA_3,0.34178634810403674
ENQUIRIES_PCA_5,0.2512987817532115
ENQUIRIES_PCA_2,0.18976988058549912
