Using CPython 3.12.3 interpreter at: /usr/bin/python3
Resolved 172 packages in 517ms
Update aiohappyeyeballs v2.6.2 -> v2.7.1
Update aiohttp v3.14.0 -> v3.14.1
Update alembic v1.18.4 -> v1.18.5
Update altair v5.5.0 -> v6.2.2
Update annotated-types v0.7.0 -> v0.8.0
Update anyio v4.13.0 -> v4.14.2
Update boto3 v1.43.24 -> v1.43.56
Update botocore v1.43.24 -> v1.43.56
Update cachetools v5.5.2 -> v6.2.6
Update certifi v2026.5.20 -> v2026.7.22
Update cffi v2.0.0 -> v2.1.0
Update charset-normalizer v3.4.7 -> v3.4.9
Update click v8.4.1 -> v8.4.2
Update cryptography v46.0.7 -> v48.0.1
Update dagshub-annotation-converter v0.2.0 -> v0.2.1
Update databricks-sdk v0.114.0 -> v0.122.0
Add defusedxml v0.7.1
Update docker v7.1.0 -> v7.2.0
Update dynaconf v3.2.13 -> v3.3.3
Update faker v40.21.0 -> v40.36.0
Update fastapi v0.136.3 -> v0.140.0
Update filelock v3.29.1 -> v3.32.0
Update flask-cors v6.0.2 -> v6.0.5
Update fsspec v2026.4.0 -> v2026.6.0
Update gitpython v3.1.50 -> v3.1.55
Update google-auth v2.53.0 -> v2.56.2
Update greenlet v3.5.1 -> v3.5.4
Update gunicorn v25.3.0 -> v26.0.0
Update huey v2.6.0 -> v3.3.0
Update litestar v2.23.0 -> v2.24.0
Update matplotlib v3.10.9 -> v3.11.1
Update mlflow v3.12.0 -> v3.14.0
Update mlflow-skinny v3.12.0 -> v3.14.0
Update mlflow-tracing v3.12.0 -> v3.14.0
Update multipart v1.3.1 -> v2.0.0
Update narwhals v2.22.1 -> v2.24.0
Update nltk v3.9.4 -> v3.10.0
Update nvidia-nccl-cu12 v2.30.4 -> v2.30.7
Update opentelemetry-api v1.42.1 -> v1.44.0
Update opentelemetry-proto v1.42.1 -> v1.44.0
Update opentelemetry-sdk v1.42.1 -> v1.44.0
Update opentelemetry-semantic-conventions v0.63b1 -> v0.65b0
Update packaging v24.2 -> v26.2
Update pillow v11.3.0 -> v12.3.0
Update prettytable v3.17.0 -> v3.18.0
Update pyarrow v23.0.1 -> v24.0.0
Update pyasn1 v0.6.3 -> v0.6.4
Update pydeck v0.9.2 -> v0.9.3
Update python-dotenv v1.1.0 -> v1.2.2
Update pytz v2026.2 -> v2026.3.post1
Update regex v2026.5.9 -> v2026.7.19
Update rpds-py v2026.5.1 -> v2026.6.3
Update s3transfer v0.18.0 -> v0.19.2
Update sklearn-compat v0.1.5 -> v0.1.6
Update starlette v0.52.1 -> v1.3.1
Update streamlit v1.45.1 -> v1.54.0
Update tornado v6.5.6 -> v6.5.7
Update tqdm v4.68.1 -> v4.69.1
Update typer v0.26.7 -> v0.27.0
Update typing-extensions v4.15.0 -> v4.16.0
Update tzdata v2026.2 -> v2026.3
Update ujson v5.12.1 -> v5.13.0
Update wcwidth v0.8.0 -> v0.8.2
Update websockets v16.0 -> v16.1.1
Update yarl v1.24.2 -> v1.24.5
