SHORT_TERM_COUNT,MID_TERM_COUNT,LONG_TERM_COUNT,SHORT_TERM_COUNT_BANK,MID_TERM_COUNT_BANK,LONG_TERM_COUNT_BANK,SHORT_TERM_COUNT_NON_BANK,MID_TERM_COUNT_NON_BANK,LONG_TERM_COUNT_NON_BANK,NUMBER_OF_LOANS,NUMBER_OF_LOANS_BANK,NUMBER_OF_LOANS_NON_BANK,NUMBER_OF_CREDIT_CARDS,NUMBER_OF_CREDIT_CARDS_BANK,NUMBER_OF_CREDIT_CARDS_NON_BANK,NUMBER_OF_RELATIONSHIP,NUMBER_OF_RELATIONSHIP_BANK,NUMBER_OF_RELATIONSHIP_NON_BANK,NUM_NEW_LOAN_TAKEN_3M,NUM_NEW_LOAN_TAKEN_6M,NUM_NEW_LOAN_TAKEN_9M,NUM_NEW_LOAN_TAKEN_12M,NUM_NEW_LOAN_TAKEN_BANK_3M,NUM_NEW_LOAN_TAKEN_BANK_6M,NUM_NEW_LOAN_TAKEN_BANK_9M,NUM_NEW_LOAN_TAKEN_BANK_12M,NUM_NEW_LOAN_TAKEN_NON_BANK_3M,NUM_NEW_LOAN_TAKEN_NON_BANK_6M,NUM_NEW_LOAN_TAKEN_NON_BANK_9M,NUM_NEW_LOAN_TAKEN_NON_BANK_12M,OUTSTANDING_BAL_LOAN_CURRENT,OUTSTANDING_BAL_LOAN_3M,OUTSTANDING_BAL_LOAN_6M,OUTSTANDING_BAL_LOAN_9M,OUTSTANDING_BAL_LOAN_12M,OUTSTANDING_BAL_CC_3M,OUTSTANDING_BAL_CC_6M,OUTSTANDING_BAL_CC_9M,OUTSTANDING_BAL_CC_12M,OUTSTANDING_BAL_ALL_3M,OUTSTANDING_BAL_ALL_6M,OUTSTANDING_BAL_ALL_9M,OUTSTANDING_BAL_ALL_12M,OUTSTANDING_BAL_LOAN_3M_6M,OUTSTANDING_BAL_LOAN_6M_9M,OUTSTANDING_BAL_LOAN_9M_12M,OUTSTANDING_BAL_LOAN_6M_12M,OUTSTANDING_BAL_LOAN_3M_12M,OUTSTANDING_BAL_CC_3M_6M,OUTSTANDING_BAL_CC_6M_9M,OUTSTANDING_BAL_CC_9M_12M,OUTSTANDING_BAL_CC_6M_12M,OUTSTANDING_BAL_CC_3M_12M,OUTSTANDING_BAL_ALL_3M_6M,OUTSTANDING_BAL_ALL_6M_9M,OUTSTANDING_BAL_ALL_9M_12M,OUTSTANDING_BAL_ALL_6M_12M,OUTSTANDING_BAL_ALL_3M_12M,INCREASING_BAL_3M_LOAN,INCREASING_BAL_6M_LOAN,INCREASING_BAL_3M_CC,INCREASING_BAL_6M_CC,INCREASING_BAL_3M_ALL,INCREASING_BAL_6M_ALL,OUTSTANDING_BAL_CC_CURRENT,CREDIT_CARD_MONTH_SINCE_10DPD,CREDIT_CARD_MONTH_SINCE_30DPD,CREDIT_CARD_MONTH_SINCE_60DPD,CREDIT_CARD_MONTH_SINCE_90DPD,CREDIT_CARD_NUMBER_OF_LATE_PAYMENT,ENQUIRIES_3M,ENQUIRIES_6M,ENQUIRIES_9M,ENQUIRIES_12M,ENQUIRIES_FROM_BANK_3M,ENQUIRIES_FROM_NON_BANK_3M,ENQUIRIES_FOR_LOAN_3M,ENQUIRIES_FOR_CC_3M,ENQUIRIES_FROM_BANK_FOR_LOAN_3M,ENQUIRIES_FROM_NON_BANK_FOR_LOAN_3M,ENQUIRIES_FROM_BANK_FOR_CC_3M,ENQUIRIES_FROM_NON_BANK_FOR_CC_3M,ENQUIRIES_FROM_BANK_6M,ENQUIRIES_FROM_NON_BANK_6M,ENQUIRIES_FOR_LOAN_6M,ENQUIRIES_FOR_CC_6M,ENQUIRIES_FROM_BANK_FOR_LOAN_6M,ENQUIRIES_FROM_NON_BANK_FOR_LOAN_6M,ENQUIRIES_FROM_BANK_FOR_CC_6M,ENQUIRIES_FROM_NON_BANK_FOR_CC_6M,ENQUIRIES_FROM_BANK_9M,ENQUIRIES_FROM_NON_BANK_9M,ENQUIRIES_FOR_LOAN_9M,ENQUIRIES_FOR_CC_9M,ENQUIRIES_FROM_BANK_FOR_LOAN_9M,ENQUIRIES_FROM_NON_BANK_FOR_LOAN_9M,ENQUIRIES_FROM_BANK_FOR_CC_9M,ENQUIRIES_FROM_NON_BANK_FOR_CC_9M,ENQUIRIES_FROM_BANK_12M,ENQUIRIES_FROM_NON_BANK_12M,ENQUIRIES_FOR_LOAN_12M,ENQUIRIES_FOR_CC_12M,ENQUIRIES_FROM_BANK_FOR_LOAN_12M,ENQUIRIES_FROM_NON_BANK_FOR_LOAN_12M,ENQUIRIES_FROM_BANK_FOR_CC_12M,ENQUIRIES_FROM_NON_BANK_FOR_CC_12M,ENQUIRIES_3M_6M,ENQUIRIES_6M_9M,ENQUIRIES_9M_12M,ENQUIRIES_6M_12M,ENQUIRIES_3M_12M,ENQUIRIES_FROM_BANK_3M_6M,ENQUIRIES_FROM_BANK_6M_9M,ENQUIRIES_FROM_BANK_9M_12M,ENQUIRIES_FROM_BANK_6M_12M,ENQUIRIES_FROM_BANK_3M_12M,ENQUIRIES_FROM_NON_BANK_3M_6M,ENQUIRIES_FROM_NON_BANK_6M_9M,ENQUIRIES_FROM_NON_BANK_9M_12M,ENQUIRIES_FROM_NON_BANK_6M_12M,ENQUIRIES_FROM_NON_BANK_3M_12M,OUTSTANDING_BAL_ALL_CURRENT,y_pred_proba,y_pred,y_true
7.0,10.0,1.0,1.0,,,7.0,4.0,1.0,16.0,7.0,10.0,10.0,4.0,7.0,25.0,10.0,16.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,1002710.0,1002560.0,1002548.333,1002567.778,1002581.667,1000046.667,1000026.667,,1000075.833,1002606.667,1002575.0,,1002657.5,1000010.046,1000009.924,1000009.946,1000009.871,1000009.916,1000017.5,1000005.455,1000006.447,1000003.516,,1000010.123,1000009.841,1000009.846,1000009.69,1000009.809,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000110.0,431.0,431.0,431.0,431.0,1.0,27.0,27.0,27.0,27.0,22.0,7.0,17.0,12.0,12.0,7.0,12.0,2.0,22.0,7.0,,12.0,12.0,7.0,12.0,2.0,22.0,,17.0,12.0,12.0,7.0,12.0,2.0,22.0,7.0,17.0,12.0,12.0,7.0,12.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,1002820.0,0.09791957151003583,0,0
10.0,1.0,1.0,7.0,1.0,1.0,4.0,1.0,1.0,10.0,7.0,4.0,7.0,4.0,4.0,16.0,,7.0,10.0,,13.0,13.0,10.0,13.0,,13.0,10.0,13.0,13.0,,1000170.0,,1000100.0,1000086.667,1000067.5,1000036.667,1000040.0,1000044.444,1000046.667,1000153.333,1000140.0,,1000114.167,1000011.667,1000011.538,,1000014.815,1000017.284,1000009.167,1000009.0,1000009.524,1000008.571,1000007.857,1000010.952,1000010.678,1000011.484,1000012.263,1000013.431,1000010.0,1000000.0,1000000.0,1000000.0,1000010.0,1000000.0,1000050.0,431.0,431.0,431.0,431.0,1.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,,7.0,2.0,2.0,,7.0,7.0,2.0,2.0,7.0,2.0,2.0,7.0,7.0,,7.0,7.0,-3.0,-3.0,-3.0,-3.0,-3.0,7.0,7.0,7.0,7.0,7.0,1000220.0,0.03863789745369449,0,0
4.0,7.0,1.0,4.0,4.0,,1.0,4.0,1.0,,7.0,4.0,4.0,4.0,1.0,13.0,,4.0,1.0,4.0,10.0,,1.0,,10.0,10.0,1.0,4.0,10.0,10.0,1000830.0,1000846.667,1000843.333,1000753.333,1000708.333,1000050.0,1000051.667,1000048.889,,1000896.667,1000895.0,1000802.222,1000746.667,1000010.04,1000011.195,,1000011.906,1000011.953,1000009.677,1000010.568,1000012.754,1000013.478,1000013.043,1000010.019,1000011.157,1000010.744,1000011.987,1000012.009,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000100.0,431.0,431.0,431.0,431.0,1.0,37.0,37.0,,42.0,32.0,7.0,,,17.0,7.0,17.0,2.0,32.0,7.0,22.0,17.0,17.0,,17.0,2.0,37.0,7.0,27.0,17.0,22.0,,17.0,2.0,37.0,7.0,27.0,17.0,22.0,7.0,17.0,2.0,7.0,6.375,7.0,,6.375,7.0,6.285714286,7.0,6.285714286,6.285714286,7.0,7.0,7.0,7.0,7.0,1000930.0,0.052380647122006053,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,1000000.0,1000000.0,1000000.0,1000000.0,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,431.0,431.0,431.0,431.0,1.0,,12.0,12.0,12.0,2.0,12.0,12.0,2.0,,12.0,2.0,2.0,2.0,12.0,12.0,2.0,2.0,12.0,2.0,2.0,2.0,12.0,12.0,2.0,2.0,12.0,2.0,2.0,2.0,12.0,12.0,2.0,,12.0,2.0,2.0,,7.0,7.0,,7.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,,7.0,,1000000.0,0.9003776007520389,1,1
7.0,4.0,,4.0,4.0,1.0,4.0,,1.0,10.0,7.0,4.0,4.0,4.0,1.0,13.0,,4.0,4.0,,7.0,7.0,4.0,4.0,7.0,,4.0,4.0,7.0,7.0,1000130.0,1000120.0,1000115.0,1000123.333,1000145.833,1000010.0,1000005.0,,1000002.5,,1000098.333,,1000137.5,1000010.435,1000009.324,1000008.457,1000007.886,,1000020.0,1000015.0,,1000020.0,1000040.0,1000008.814,1000008.762,1000008.162,1000007.152,1000006.303,1000000.0,,1000000.0,1000000.0,1000000.0,1000000.0,1000030.0,431.0,431.0,431.0,431.0,,32.0,,32.0,32.0,12.0,22.0,,12.0,7.0,17.0,7.0,7.0,12.0,22.0,,12.0,7.0,17.0,7.0,7.0,12.0,,22.0,12.0,7.0,17.0,7.0,,12.0,22.0,,12.0,7.0,17.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1000160.0,0.06066808552095265,0,1
7.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,7.0,7.0,7.0,1.0,13.0,7.0,7.0,4.0,7.0,7.0,10.0,4.0,7.0,7.0,10.0,,7.0,7.0,10.0,,1000133.333,1000118.333,1000120.0,1000097.5,,1000023.333,1000025.556,1000022.5,1000150.0,1000141.667,1000145.556,1000120.0,1000011.268,1000009.861,1000012.308,1000012.137,,1000007.143,1000009.13,1000011.358,1000010.37,1000007.407,1000010.588,1000009.733,1000012.13,1000011.806,1000012.5,1000000.0,1000000.0,1000000.0,1000000.0,,,1000010.0,,431.0,431.0,431.0,,12.0,22.0,22.0,32.0,2.0,12.0,12.0,,2.0,12.0,2.0,2.0,2.0,22.0,22.0,,2.0,22.0,2.0,,2.0,22.0,22.0,2.0,2.0,,2.0,2.0,12.0,22.0,27.0,7.0,7.0,22.0,7.0,,4.5,7.0,,5.333333333,3.666666667,-3.0,-3.0,2.0,2.0,2.0,4.5,7.0,7.0,7.0,4.5,1000140.0,0.05792550856475989,0,0
1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,13.0,13.0,1.0,16.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1006000.0,1006116.667,,1006451.111,1006612.5,1003976.667,,1003411.111,,1010093.333,1009955.0,1009862.222,1009575.833,,1000009.745,1000009.756,1000009.507,1000009.25,1000010.841,1000010.754,1000011.511,1000012.379,1000013.42,1000010.139,,1000010.299,1000010.396,1000010.54,1000000.0,1000000.0,,1000000.0,1000000.0,1000000.0,1004530.0,431.0,431.0,431.0,431.0,4.0,7.0,17.0,27.0,27.0,,7.0,7.0,2.0,2.0,7.0,2.0,2.0,12.0,7.0,,7.0,7.0,7.0,7.0,2.0,22.0,7.0,17.0,12.0,12.0,7.0,12.0,2.0,22.0,7.0,,12.0,12.0,7.0,12.0,2.0,3.666666667,5.0,7.0,5.0,3.0,2.0,4.5,7.0,,2.0,7.0,7.0,7.0,7.0,7.0,1010530.0,0.43777122673501406,0,0
4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,7.0,1.0,7.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,,1.0,1.0,,4.0,1000030.0,1000040.0,1000051.667,1000043.333,1000032.5,1000016.667,1000008.333,1000005.556,1000004.167,,1000060.0,1000048.889,1000036.667,1000007.742,1000011.923,1000013.333,1000015.897,1000012.308,1000020.0,1000015.0,1000013.333,1000020.0,1000040.0,1000009.444,,1000013.333,1000016.364,,1000010.0,1000000.0,1000000.0,1000000.0,1000000.0,,1000050.0,431.0,431.0,431.0,431.0,1.0,12.0,12.0,12.0,12.0,2.0,12.0,12.0,2.0,2.0,12.0,2.0,2.0,2.0,12.0,12.0,2.0,2.0,12.0,2.0,2.0,2.0,12.0,12.0,2.0,2.0,12.0,2.0,2.0,2.0,12.0,12.0,2.0,2.0,12.0,,,7.0,7.0,,7.0,7.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,,7.0,1000080.0,0.32913441624384254,0,0
10.0,4.0,1.0,4.0,4.0,1.0,7.0,1.0,,13.0,7.0,7.0,13.0,7.0,,25.0,13.0,13.0,4.0,4.0,7.0,10.0,4.0,4.0,7.0,10.0,4.0,4.0,7.0,10.0,1009500.0,1009526.667,1009575.0,1009923.333,1010075.0,1000300.0,1000311.667,,1000330.0,1009826.667,1009886.667,1010244.444,1010405.0,1000009.95,1000009.649,1000009.849,1000009.504,1000009.456,1000009.626,1000009.706,1000009.731,1000009.444,1000009.091,1000009.939,1000009.651,1000009.846,1000009.502,1000009.444,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000290.0,431.0,431.0,431.0,431.0,1.0,32.0,47.0,47.0,72.0,22.0,12.0,,7.0,17.0,12.0,7.0,2.0,32.0,17.0,37.0,12.0,22.0,17.0,12.0,2.0,,17.0,37.0,12.0,22.0,17.0,12.0,2.0,57.0,17.0,,22.0,37.0,17.0,22.0,2.0,5.333333333,7.0,5.214285714,,4.142857143,5.333333333,7.0,4.727272727,4.727272727,3.818181818,5.333333333,7.0,7.0,7.0,5.333333333,1009790.0,0.04666631779495713,0,0
7.0,1.0,1.0,1.0,1.0,1.0,7.0,,1.0,7.0,1.0,7.0,1.0,1.0,1.0,,1.0,7.0,1.0,,4.0,7.0,1.0,,4.0,,1.0,4.0,4.0,7.0,,,,,1000093.333,999990.0,999990.0,999990.0,999990.0,1000056.667,1000086.667,1000094.444,1000093.333,1000006.538,1000009.176,1000010.119,1000009.286,1000006.071,999990.0,999990.0,999990.0,999990.0,999990.0,1000006.538,1000009.176,,1000009.286,1000006.071,1000000.0,1000000.0,999990.0,999990.0,1000000.0,1000000.0,999990.0,431.0,431.0,431.0,431.0,1.0,,7.0,7.0,7.0,2.0,,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,-3.0,-3.0,-3.0,-3.0,-3.0,7.0,7.0,7.0,7.0,7.0,1000050.0,0.14552491064034756,0,0
